	IndexID	FullID	Brain.code	Region	Period	Hemisphere	RIN	MonthsAge	Age	Age.1	Dissection.score	Exon.Array.CEL.files	Age.range	Description	Region.Area	mirVana.tRNA.prepped	mirVana.RIN	mirVana.rRNA.ratio	mirVana.conc..ng.ul.	good.to.go.	small.RNA.library.prepped	RNA.seq.as.of.June.2011	Exon.Array.as.of.June.2011
HSB139.HIP	667	HSB139.HIP	HSB139	HIP	8	L	8.4	13	4M	4M	4	139.HIP.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	HIP	To Be Prepped		NA	NA		NA	Done	Done
HSB139.AMY	668	HSB139.AMY	HSB139	AMY	8	L	9.6	13	4M	4M	4	139.AMY.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	AMY	To Be Prepped		NA	NA		NA	Done	Done
HSB139.STR	669	HSB139.STR	HSB139	STR	8	L	9.9	13	4M	4M	5	139.STR.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	STR	To Be Prepped		NA	NA		NA	Done	Done
HSB139.MD	670	HSB139.MD	HSB139	MD	8	L	8.8	13	4M	4M	4	139.MD.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	MD	To Be Prepped		NA	NA		NA	Done	Done
HSB139.CBC	671	HSB139.CBC	HSB139	CBC	8	L	9	13	4M	4M	5	139.CBC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	CBC	To Be Prepped		NA	NA		NA	Done	Done
HSB131.DFC	672	HSB131.DFC	HSB131	DFC	9	L	7.1	15	6M	6M	5	131.DFC.L.CEL	6 M_ Age <1 Year (Y)	Late infancy	DFC	Done	6	0.58	95.61	not good	NA	Done	Done
HSB131.VFC	673	HSB131.VFC	HSB131	VFC	9	L	7.5	15	6M	6M	5	131.VFC.L.CEL	7 M_ Age <1 Year (Y)	Late infancy	VFC	Done	6.6	0.54	66.96	not good	NA	Done	Done
HSB131.MFC	674	HSB131.MFC	HSB131	MFC	9	L	7.1	15	6M	6M	5	131.MFC.L.CEL	8 M_ Age <1 Year (Y)	Late infancy	MFC	Done	6.6	0.44	100.83	not good	NA	Done	Done
HSB131.OFC	675	HSB131.OFC	HSB131	OFC	9	L	7	15	6M	6M	5	131.OFC.L.CEL	9 M_ Age <1 Year (Y)	Late infancy	OFC	Done	6.1	0.35	112.02	not good	NA	Done	Done
HSB131.M1C	676	HSB131.M1C	HSB131	M1C	9	L	7.5	15	6M	6M	5	131.M1C.L.CEL	10 M_ Age <1 Year (Y)	Late infancy	M1C	Done	6.5	0.75	168.59	not good	NA	Done	Done
HSB131.S1C	677	HSB131.S1C	HSB131	S1C	9	L	7.9	15	6M	6M	5	131.S1C.L.CEL	11 M_ Age <1 Year (Y)	Late infancy	S1C	Done	6.1	0.47	130.99	not good	NA	Done	Done
HSB131.IPC	678	HSB131.IPC	HSB131	IPC	9	L	7.8	15	6M	6M	5	131.IPC.L.CEL	12 M_ Age <1 Year (Y)	Late infancy	IPC	Done	6.4	0.55	46.88	not good	NA	Done	Done
HSB131.A1C	679	HSB131.A1C	HSB131	A1C	9	L	7.5	15	6M	6M	5	131.A1C.L.CEL	13 M_ Age <1 Year (Y)	Late infancy	A1C	Done	5.4	0.39	85.35	not good	NA	Done	Done
HSB131.STC	680	HSB131.STC	HSB131	STC	9	L	7.5	15	6M	6M	5	131.STC.L.CEL	14 M_ Age <1 Year (Y)	Late infancy	STC	Done	6.1	0.44	123.34	not good	NA	Done	Done
HSB131.ITC	681	HSB131.ITC	HSB131	ITC	9	L	7	15	6M	6M	5	131.ITC.L.CEL	15 M_ Age <1 Year (Y)	Late infancy	ITC	Done		NA	NA		NA	Done	Done
HSB131.V1C	682	HSB131.V1C	HSB131	V1C	9	L	7.5	15	6M	6M	5	131.V1C.L.CEL	16 M_ Age <1 Year (Y)	Late infancy	V1C	Done		NA	NA		NA	Done	Done
HSB131.HIP	683	HSB131.HIP	HSB131	HIP	9	L	7.4	15	6M	6M	5	131.HIP.L.CEL	17 M_ Age <1 Year (Y)	Late infancy	HIP	Done		NA	NA		NA	Done	Done
HSB131.AMY	684	HSB131.AMY	HSB131	AMY	9	L	8	15	6M	6M	3	131.AMY.L.CEL	18 M_ Age <1 Year (Y)	Late infancy	AMY	Done		NA	NA		NA	Done	Done
HSB131.STR	685	HSB131.STR	HSB131	STR	9	L	7.8	15	6M	6M	5	131.STR.L.CEL	19 M_ Age <1 Year (Y)	Late infancy	STR	Done		NA	NA		NA	Done	Done
HSB131.MD	686	HSB131.MD	HSB131	MD	9	L	7.6	15	6M	6M	5	131.MD.L.CEL	20 M_ Age <1 Year (Y)	Late infancy	MD	Done		NA	NA		NA	Done	Done
HSB131.CBC	687	HSB131.CBC	HSB131	CBC	9	L	8.4	15	6M	6M	5	131.CBC.L.CEL	21 M_ Age <1 Year (Y)	Late infancy	CBC	Done		NA	NA		NA	Done	Done
HSB171.DFC	688	HSB171.DFC	HSB171	DFC	9	L	8.6	19	10M	10M	5	171.DFC.CEL	22 M_ Age <1 Year (Y)	Late infancy	DFC	Done		NA	NA		NA	Done	Done
HSB171.VFC	689	HSB171.VFC	HSB171	VFC	9	L	8.8	19	10M	10M	5	171.VFC.CEL	23 M_ Age <1 Year (Y)	Late infancy	VFC	Done		NA	NA		NA	Done	Done
HSB171.MFC	690	HSB171.MFC	HSB171	MFC	9	L	8.7	19	10M	10M	5	171.MFC.CEL	24 M_ Age <1 Year (Y)	Late infancy	MFC	Done		NA	NA		NA	Done	Done
HSB171.OFC	691	HSB171.OFC	HSB171	OFC	9	L	9.4	19	10M	10M	5	171.OFC.CEL	25 M_ Age <1 Year (Y)	Late infancy	OFC	Done		NA	NA		NA	Done	Done
HSB171.S1C	692	HSB171.S1C	HSB171	S1C	9	L	8.6	19	10M	10M	5	171.S1C.CEL	26 M_ Age <1 Year (Y)	Late infancy	S1C	Done		NA	NA		NA	Done	Done
HSB171.IPC	693	HSB171.IPC	HSB171	IPC	9	L	9	19	10M	10M	4	171.IPC.CEL	27 M_ Age <1 Year (Y)	Late infancy	IPC	Done		NA	NA		NA	Done	Done
HSB171.STC	694	HSB171.STC	HSB171	STC	9	L	9.2	19	10M	10M	4	171.STC.CEL	28 M_ Age <1 Year (Y)	Late infancy	STC	Done		NA	NA		NA	Done	Done
HSB171.ITC	695	HSB171.ITC	HSB171	ITC	9	L	9.2	19	10M	10M	4	171.ITC.CEL	29 M_ Age <1 Year (Y)	Late infancy	ITC	Done		NA	NA		NA	Done	Done
HSB171.V1C	696	HSB171.V1C	HSB171	V1C	9	L	8.9	19	10M	10M	5	171.V1C.CEL	30 M_ Age <1 Year (Y)	Late infancy	V1C	Done		NA	NA		NA	Done	Done
HSB171.MD	697	HSB171.MD	HSB171	MD	9	L	9.3	19	10M	10M	4	171.MD.CEL	31 M_ Age <1 Year (Y)	Late infancy	MD	Done		NA	NA		NA	Done	Done
HSB171.CBC	698	HSB171.CBC	HSB171	CBC	9	L	9.2	19	10M	10M	4	171.CBC.CEL	32 M_ Age <1 Year (Y)	Late infancy	CBC	Done		NA	NA		NA	Done	Done
HSB122.DFC	715	HSB122.DFC	HSB122	DFC	9	R	9.6	21	12M	12M	4	122.DFC.R.CEL	49 M_ Age <1 Year (Y)	Late infancy	DFC	Tissue box missing		NA	NA		NA	Done	Done
HSB122.VFC	716	HSB122.VFC	HSB122	VFC	9	R	9.9	21	12M	12M	5	122.VFC.R.CEL	50 M_ Age <1 Year (Y)	Late infancy	VFC	Tissue box missing		NA	NA		NA	Done	Done
HSB122.MFC	717	HSB122.MFC	HSB122	MFC	9	R	9.7	21	12M	12M	5	122.MFC.R.CEL	51 M_ Age <1 Year (Y)	Late infancy	MFC	Tissue box missing		NA	NA		NA	Done	Done
HSB122.OFC	718	HSB122.OFC	HSB122	OFC	9	R	9	21	12M	12M	5	122.OFC.R.CEL	52 M_ Age <1 Year (Y)	Late infancy	OFC	Tissue box missing		NA	NA		NA	Done	Done
HSB122.M1C	719	HSB122.M1C	HSB122	M1C	9	R	9.6	21	12M	12M	5	122.M1C.R.CEL	53 M_ Age <1 Year (Y)	Late infancy	M1C	Tissue box missing		NA	NA		NA	Done	Done
HSB122.S1C	720	HSB122.S1C	HSB122	S1C	9	R	10	21	12M	12M	5	122.S1C.R.CEL	54 M_ Age <1 Year (Y)	Late infancy	S1C	Tissue box missing		NA	NA		NA	Done	Done
HSB122.IPC	721	HSB122.IPC	HSB122	IPC	9	R	9.6	21	12M	12M	5	122.IPC.R.CEL	55 M_ Age <1 Year (Y)	Late infancy	IPC	Tissue box missing		NA	NA		NA	Done	Done
HSB122.A1C	722	HSB122.A1C	HSB122	A1C	9	R	9.8	21	12M	12M	5	122.A1C.R.CEL	56 M_ Age <1 Year (Y)	Late infancy	A1C	Tissue box missing		NA	NA		NA	Done	Done
HSB122.STC	723	HSB122.STC	HSB122	STC	9	R	9.6	21	12M	12M	5	122.STC.R.CEL	57 M_ Age <1 Year (Y)	Late infancy	STC	Tissue box missing		NA	NA		NA	Done	Done
HSB122.ITC	724	HSB122.ITC	HSB122	ITC	9	R	9.5	21	12M	12M	5	122.ITC.R.CEL	58 M_ Age <1 Year (Y)	Late infancy	ITC	Done	7.9	1.31	240.88	ok	NA	Done	Done
HSB122.V1C	725	HSB122.V1C	HSB122	V1C	9	R	9.9	21	12M	12M	5	122.V1C.R.CEL	59 M_ Age <1 Year (Y)	Late infancy	V1C	Done	8.5	1.4	232.18	ok	NA	Done	Done
HSB122.HIP	726	HSB122.HIP	HSB122	HIP	9	R	9.9	21	12M	12M	5	122.HIP.R.CEL	60 M_ Age <1 Year (Y)	Late infancy	HIP	Done	8.6	1.37	59.43	ok	NA	Done	Done
HSB122.AMY	727	HSB122.AMY	HSB122	AMY	9	R	9.3	21	12M	12M	5	122.AMY.R.CEL	61 M_ Age <1 Year (Y)	Late infancy	AMY	Done	7.5	1.37	52.56	ok	NA	Done	Done
HSB122.STR	728	HSB122.STR	HSB122	STR	9	R	10	21	12M	12M	5	122.STR.R.CEL	62 M_ Age <1 Year (Y)	Late infancy	STR	Done	7.8	1.29	112.56	ok	NA	Done	Done
HSB122.MD	729	HSB122.MD	HSB122	MD	9	R	10	21	12M	12M	5	122.MD.R.CEL	63 M_ Age <1 Year (Y)	Late infancy	MD	Done	7	1.03	102.42	ok	NA	Done	Done
HSB122.CBC	730	HSB122.CBC	HSB122	CBC	9	R	9.8	21	12M	12M	5	122.CBC.R.CEL	64 M_ Age <1 Year (Y)	Late infancy	CBC	Done	N/A 	1.1	54.8	ok	NA	Done	Done
HSB143.DFC	744	HSB143.DFC	HSB143	DFC	10	R	7.3	33	2	2Y	5	143.DFC.R.CEL	1_ Age <6 Y	Early childhood	DFC	Done	N/A 	0.84	104.05	not good	NA	Done	Done
HSB143.VFC	745	HSB143.VFC	HSB143	VFC	10	R	7.5	33	2	2Y	5	143.VFC.R.CEL	1_ Age <6 Y	Early childhood	VFC	Done	4	0.66	182.21	not good	NA	Done	Done
HSB143.MFC	746	HSB143.MFC	HSB143	MFC	10	R	6.5	33	2	2Y	5	143.MFC.R.CEL	1_ Age <6 Y	Early childhood	MFC	Done	N/A 	0.86	240.13	not good	NA	Done	Done
HSB143.OFC	747	HSB143.OFC	HSB143	OFC	10	R	6.8	33	2	2Y	5	143.OFC.R.CEL	1_ Age <6 Y	Early childhood	OFC	Done	N/A 	0.64	247.03	not good	NA	Done	Done
HSB143.M1C	748	HSB143.M1C	HSB143	M1C	10	R	6.4	33	2	2Y	4	143.M1C.R.CEL	1_ Age <6 Y	Early childhood	M1C	Done	N/A 	0.79	152.38	not good	NA	Done	Done
HSB143.S1C	749	HSB143.S1C	HSB143	S1C	10	R	6.9	33	2	2Y	4	143.S1C.R.CEL	1_ Age <6 Y	Early childhood	S1C	Done	N/A 	0.71	179.73	not good	NA	Done	Done
HSB143.IPC	750	HSB143.IPC	HSB143	IPC	10	R	5.6	33	2	2Y	4	143.IPC.R.CEL	1_ Age <6 Y	Early childhood	IPC	Done	N/A 	0.9	153.5	not good	NA	Done	Done
HSB143.A1C	751	HSB143.A1C	HSB143	A1C	10	R	7.2	33	2	2Y	5	143.A1C.R.CEL	1_ Age <6 Y	Early childhood	A1C	Done	N/A 	0.51	331.57	not good	NA	Done	Done
HSB143.STC	752	HSB143.STC	HSB143	STC	10	R	7.8	33	2	2Y	5	143.STC.R.CEL	1_ Age <6 Y	Early childhood	STC	Done		NA	NA		NA	Done	Done
HSB143.ITC	753	HSB143.ITC	HSB143	ITC	10	R	5.4	33	2	2Y	5	143.ITC.R.CEL	1_ Age <6 Y	Early childhood	ITC	Done		NA	NA		NA	Done	Done
HSB143.V1C	754	HSB143.V1C	HSB143	V1C	10	R	7.4	33	2	2Y	5	143.V1C.R.CEL	1_ Age <6 Y	Early childhood	V1C	Done		NA	NA		NA	Done	Done
HSB143.HIP	755	HSB143.HIP	HSB143	HIP	10	R	6.9	33	2	2Y	5	143.HIP.R.CEL	1_ Age <6 Y	Early childhood	HIP	Done		NA	NA		NA	Done	Done
HSB143.AMY	756	HSB143.AMY	HSB143	AMY	10	R	6.3	33	2	2Y	5	143.AMY.R.CEL	1_ Age <6 Y	Early childhood	AMY	Done		NA	NA		NA	Done	Done
HSB143.CBC	759	HSB143.CBC	HSB143	CBC	10	R	8.9	33	2	2Y	5	143.CBC.R.CEL	1_ Age <6 Y	Early childhood	CBC	Done		NA	NA		NA	Done	Done
HSB173.VFC	760	HSB173.VFC	HSB173	VFC	10	L	8	45	3	3Y	5	173.VFC.CEL	1_ Age <6 Y	Early childhood	VFC	Done	N/A 	0.59	50	could be 173-VFC-L not good	NA	Done	Done
HSB173.M1C	761	HSB173.M1C	HSB173	M1C	10	L	7.7	45	3	3Y	4	173.M1C.CEL	1_ Age <6 Y	Early childhood	M1C	Done	N/A 	0.82	136.06	could be 173-M1C-L not good	NA	Done	Done
HSB173.S1C	762	HSB173.S1C	HSB173	S1C	10	L	7.7	45	3	3Y	4	173.S1C.CEL	1_ Age <6 Y	Early childhood	S1C	Done	6.3	0.46	184.18	could be 173-S1C-L not good	NA	Done	Done
HSB173.IPC	763	HSB173.IPC	HSB173	IPC	10	L	7.8	45	3	3Y	5	173.IPC.CEL	1_ Age <6 Y	Early childhood	IPC	Done	6.2	0.47	82.97	not good	NA	Done	Done
HSB173.A1C	764	HSB173.A1C	HSB173	A1C	10	L	7.2	45	3	3Y	5	173.A1C.CEL	1_ Age <6 Y	Early childhood	A1C	Done	6.4	0.56	76.36	not good	NA	Done	Done
HSB173.STC	765	HSB173.STC	HSB173	STC	10	L	8.3	45	3	3Y	5	173.STC.CEL	1_ Age <6 Y	Early childhood	STC	Done	5.6	0.62	79.75	not good	NA	Done	Done
HSB173.ITC	766	HSB173.ITC	HSB173	ITC	10	L	7.8	45	3	3Y	5	173.ITC.CEL	1_ Age <6 Y	Early childhood	ITC	Done	6	0.56	30.3	not good	NA	Done	Done
HSB173.V1C	767	HSB173.V1C	HSB173	V1C	10	L	8.3	45	3	3Y	5	173.V1C.CEL	1_ Age <6 Y	Early childhood	V1C	Done	5.9	0.71	99.24	not good	NA	Done	Done
HSB173.HIP	768	HSB173.HIP	HSB173	HIP	10	L	7.6	45	3	3Y	4	173.HIP.CEL	1_ Age <6 Y	Early childhood	HIP	Done	5.6	0.28	23.9	not good	NA	Done	Done
HSB173.AMY	769	HSB173.AMY	HSB173	AMY	10	L	6.8	45	3	3Y	4	173.AMY.CEL	1_ Age <6 Y	Early childhood	AMY	Done	4.2	0	58.3	not good	NA	Done	Done
HSB173.STR	770	HSB173.STR	HSB173	STR	10	L	8	45	3	3Y	5	173.STR.CEL	1_ Age <6 Y	Early childhood	STR	Done	5.1	0	35.01	not good	NA	Done	Done
HSB173.MD	771	HSB173.MD	HSB173	MD	10	L	7.6	45	3	3Y	4	173.MD.CEL	1_ Age <6 Y	Early childhood	MD	Done	5.1	0.43	50.64	not good	NA	Done	Done
HSB173.CBC	772	HSB173.CBC	HSB173	CBC	10	L	8.7	45	3	3Y	5	173.CBC.CEL	1_ Age <6 Y	Early childhood	CBC	Done	N/A 	1.03	31.24	ok	NA	Done	Done
HSB172.DFC	773	HSB172.DFC	HSB172	DFC	10	L	7.5	45	3	3Y	5	172.DFC.CEL	1_ Age <6 Y	Early childhood	DFC	Done	6	0.44	95.72	not good	NA	Done	Done
HSB172.VFC	774	HSB172.VFC	HSB172	VFC	10	L	6.6	45	3	3Y	5	172.VFC.CEL	1_ Age <6 Y	Early childhood	VFC	Done	6	0.44	78.12	not good	NA	Done	Done
HSB172.MFC	775	HSB172.MFC	HSB172	MFC	10	L	7.6	45	3	3Y	5	172.MFC.CEL	1_ Age <6 Y	Early childhood	MFC	Done	5.3	0.42	166.77	not good	NA	Done	Done
HSB172.OFC	776	HSB172.OFC	HSB172	OFC	10	L	7.7	45	3	3Y	5	172.OFC.CEL	1_ Age <6 Y	Early childhood	OFC	Done	5.9	0.47	139.62	not good	NA	Done	Done
HSB172.M1C	777	HSB172.M1C	HSB172	M1C	10	L	5.9	45	3	3Y	4	172.M1C.CEL	1_ Age <6 Y	Early childhood	M1C	Done	5.4	0.38	164.46	not good	NA	Done	Done
HSB172.S1C	778	HSB172.S1C	HSB172	S1C	10	L	6.1	45	3	3Y	4	172.S1C.CEL	1_ Age <6 Y	Early childhood	S1C	Done	5.1	0.45	155.08	not good	NA	Done	Done
HSB172.IPC	779	HSB172.IPC	HSB172	IPC	10	L	6.6	45	3	3Y	5	172.IPC.CEL	1_ Age <6 Y	Early childhood	IPC	Done	N/A 	0.43	423.07	not good	NA	Done	Done
HSB172.A1C	780	HSB172.A1C	HSB172	A1C	10	L	7.4	45	3	3Y	4	172.A1C.CEL	1_ Age <6 Y	Early childhood	A1C	Done	5	0.44	131.5	not good	NA	Done	Done
HSB172.STC	781	HSB172.STC	HSB172	STC	10	L	6.7	45	3	3Y	5	172.STC.CEL	1_ Age <6 Y	Early childhood	STC	Done	6.1	0.45	70.61	not good	NA	Done	Done
HSB172.ITC	782	HSB172.ITC	HSB172	ITC	10	L	6	45	3	3Y	5	172.ITC.CEL	1_ Age <6 Y	Early childhood	ITC	Done	N/A 	0.37	128.66	not good	NA	Done	Done
HSB172.V1C	783	HSB172.V1C	HSB172	V1C	10	L	7.4	45	3	3Y	5	172.V1C.CEL	1_ Age <6 Y	Early childhood	V1C	Done	5.4	0.29	108.26	not good	NA	Done	Done
HSB172.HIP	784	HSB172.HIP	HSB172	HIP	10	L	7	45	3	3Y	4	172.HIP.CEL	1_ Age <6 Y	Early childhood	HIP	Done	5.9	0.41	133.06	not good	NA	Done	Done
HSB172.AMY	785	HSB172.AMY	HSB172	AMY	10	L	6.8	45	3	3Y	4	172.AMY.CEL	1_ Age <6 Y	Early childhood	AMY	Done	5.1	0.38	84.57	not good	NA	Done	Done
HSB172.CBC	787	HSB172.CBC	HSB172	CBC	10	L	8.6	45	3	3Y	5	172.CBC.CEL	1_ Age <6 Y	Early childhood	CBC	Done	N/A 	0	75.24	not good	NA	Done	Done
HSB118.DFC	788	HSB118.DFC	HSB118	DFC	10	R	7.8	57	4	4Y	5	118.DFC.R.CEL	1_ Age <6 Y	Early childhood	DFC	Done	7.5	1.87	188.85	ok	NA	Done	Done
HSB118.VFC	789	HSB118.VFC	HSB118	VFC	10	R	8	57	4	4Y	4	118.VFC.R.CEL	1_ Age <6 Y	Early childhood	VFC	Done	7.7	1.06	152.08	ok	NA	Done	Done
HSB118.MFC	790	HSB118.MFC	HSB118	MFC	10	R	7.4	57	4	4Y	5	118.MFC.R.CEL	1_ Age <6 Y	Early childhood	MFC	Done	N/A 	1.29	188.9	ok	NA	Done	Done
HSB118.OFC	791	HSB118.OFC	HSB118	OFC	10	R	7.5	57	4	4Y	5		1_ Age <6 Y	Early childhood	OFC	Done	9	1.65	152.03	ok	NA	Done	No (failed)
HSB118.M1C	792	HSB118.M1C	HSB118	M1C	10	R	7.6	57	4	4Y	4	118.M1C.R.CEL	1_ Age <6 Y	Early childhood	M1C	Done	8.4	1.48	181.71	ok	NA	Done	Done
HSB118.S1C	793	HSB118.S1C	HSB118	S1C	10	R	8.2	57	4	4Y	4	118.S1C.R.CEL	1_ Age <6 Y	Early childhood	S1C	Done	9.3	1.65	97.63	ok	NA	Done	Done
HSB118.IPC	794	HSB118.IPC	HSB118	IPC	10	R	8.1	57	4	4Y	5	118.IPC.R.CEL	1_ Age <6 Y	Early childhood	IPC	Done	7.7	1.28	258.16	ok	NA	Done	Done
HSB118.A1C	795	HSB118.A1C	HSB118	A1C	10	R	8.4	57	4	4Y	5	118.A1C.R.CEL	1_ Age <6 Y	Early childhood	A1C	Done	8.4	1.61	203.9	ok	NA	Done	Done
HSB118.STC	796	HSB118.STC	HSB118	STC	10	R	7.6	57	4	4Y	5	118.STC.R.CEL	1_ Age <6 Y	Early childhood	STC	Done	8.1	1.44	46.07	ok	NA	Done	Done
HSB118.ITC	797	HSB118.ITC	HSB118	ITC	10	R	7.1	57	4	4Y	5	118.ITC.R.CEL	1_ Age <6 Y	Early childhood	ITC	Done	6.8	1.49	249.27	ok	NA	Done	Done
HSB118.V1C	798	HSB118.V1C	HSB118	V1C	10	R	8.1	57	4	4Y	5	118.V1C.R.CEL	1_ Age <6 Y	Early childhood	V1C	Done	N/A 	0.98	52.89	? (can be re-prepped)	NA	Done	Done
HSB118.HIP	799	HSB118.HIP	HSB118	HIP	10	R	7.6	57	4	4Y	5	118.HIP.R.CEL	1_ Age <6 Y	Early childhood	HIP	Done	8.9	1.38	37.46	ok	NA	Done	Done
HSB118.AMY	800	HSB118.AMY	HSB118	AMY	10	R	7.7	57	4	4Y	5	118.AMY.R.CEL	1_ Age <6 Y	Early childhood	AMY	Done	7.2	1.26	172.42	ok	NA	Done	Done
HSB118.STR	801	HSB118.STR	HSB118	STR	10	R	8.2	57	4	4Y	5	118.STR.R.CEL	1_ Age <6 Y	Early childhood	STR	Done	N/A 	1.3	71.12	ok	NA	Done	Done
HSB118.MD	802	HSB118.MD	HSB118	MD	10	R	8.5	57	4	4Y	5	118.MD.R.CEL	1_ Age <6 Y	Early childhood	MD	Done	9.3	1.31	99.54	ok	NA	Done	Done
HSB118.CBC	803	HSB118.CBC	HSB118	CBC	10	R	8.5	57	4	4Y	5	118.CBC.R.CEL	1_ Age <6 Y	Early childhood	CBC	Done	7.3	0.46	58.66	ok	NA	Done	Done
HSB141.DFC	804	HSB141.DFC	HSB141	DFC	11	L	7.7	105	8	8Y	5	141.DFC.L.CEL	6_ Age <12 Y	Middle and late childhood	DFC	Done		NA	NA		NA	Done	Done
HSB141.VFC	805	HSB141.VFC	HSB141	VFC	11	L	7.9	105	8	8Y	5	141.VFC.L.CEL	6_ Age <12 Y	Middle and late childhood	VFC	Done		NA	NA		NA	Done	Done
HSB141.MFC	806	HSB141.MFC	HSB141	MFC	11	L	8.4	105	8	8Y	5	141.MFC.L.CEL	6_ Age <12 Y	Middle and late childhood	MFC	Done		NA	NA		NA	Done	Done
HSB141.OFC	807	HSB141.OFC	HSB141	OFC	11	L	8	105	8	8Y	5	141.OFC.L.CEL	6_ Age <12 Y	Middle and late childhood	OFC	Done		NA	NA		NA	Done	Done
HSB141.M1C	808	HSB141.M1C	HSB141	M1C	11	L	8.8	105	8	8Y	4	141.M1C.L.CEL	6_ Age <12 Y	Middle and late childhood	M1C	Done		NA	NA		NA	Done	Done
HSB141.S1C	809	HSB141.S1C	HSB141	S1C	11	L	8.6	105	8	8Y	4	141.S1C.L.CEL	6_ Age <12 Y	Middle and late childhood	S1C	Done		NA	NA		NA	Done	Done
HSB141.IPC	810	HSB141.IPC	HSB141	IPC	11	L	8.3	105	8	8Y	5	141.IPC.L.CEL	6_ Age <12 Y	Middle and late childhood	IPC	Done		NA	NA		NA	Done	Done
HSB141.A1C	811	HSB141.A1C	HSB141	A1C	11	L	8.1	105	8	8Y	5	141.A1C.L.CEL	6_ Age <12 Y	Middle and late childhood	A1C	Done		NA	NA		NA	Done	Done
HSB141.STC	812	HSB141.STC	HSB141	STC	11	L	7.7	105	8	8Y	5	141.STC.L.CEL	6_ Age <12 Y	Middle and late childhood	STC	Done		NA	NA		NA	Done	Done
HSB141.ITC	813	HSB141.ITC	HSB141	ITC	11	L	7.9	105	8	8Y	5	141.ITC.L.CEL	6_ Age <12 Y	Middle and late childhood	ITC	Done		NA	NA		NA	Done	Done
HSB141.V1C	814	HSB141.V1C	HSB141	V1C	11	L	7.9	105	8	8Y	5	141.V1C.L.CEL	6_ Age <12 Y	Middle and late childhood	V1C	Done		NA	NA		NA	Done	Done
HSB141.HIP	815	HSB141.HIP	HSB141	HIP	11	L	7.9	105	8	8Y	5	141.HIP.L.CEL	6_ Age <12 Y	Middle and late childhood	HIP	Done		NA	NA		NA	Done	Done
HSB141.AMY	816	HSB141.AMY	HSB141	AMY	11	L	7.1	105	8	8Y	5	141.AMY.L.CEL	6_ Age <12 Y	Middle and late childhood	AMY	Done		NA	NA		NA	Done	Done
HSB141.STR	817	HSB141.STR	HSB141	STR	11	L	8.5	105	8	8Y	5	141.STR.L.CEL	6_ Age <12 Y	Middle and late childhood	STR	Done		NA	NA		NA	Done	Done
HSB141.MD	818	HSB141.MD	HSB141	MD	11	L	8.4	105	8	8Y	5	141.MD.L.CEL	6_ Age <12 Y	Middle and late childhood	MD	Done		NA	NA		NA	Done	Done
HSB141.CBC	819	HSB141.CBC	HSB141	CBC	11	L	8.7	105	8	8Y	5	141.CBC.L.CEL	6_ Age <12 Y	Middle and late childhood	CBC	Done		NA	NA		NA	Done	Done
HSB174.DFC	820	HSB174.DFC	HSB174	DFC	11	L	9.4	105	8	8Y	5	174.DFC.CEL	6_ Age <12 Y	Middle and late childhood	DFC	Done	7.7	1.11	76.49	ok	NA	Done	Done
HSB174.VFC	821	HSB174.VFC	HSB174	VFC	11	L	9.2	105	8	8Y	5	174.VFC.CEL	6_ Age <12 Y	Middle and late childhood	VFC	Done	8.4	1.42	67.67	ok	NA	Done	Done
HSB174.MFC	822	HSB174.MFC	HSB174	MFC	11	L	8.8	105	8	8Y	5	174.MFC.CEL	6_ Age <12 Y	Middle and late childhood	MFC	Done	8.1	1.69	133.11	ok	NA	Done	Done
HSB174.OFC	823	HSB174.OFC	HSB174	OFC	11	L	8.9	105	8	8Y	5	174.OFC.CEL	6_ Age <12 Y	Middle and late childhood	OFC	Done	8	1.2	65.59	ok	NA	Done	Done
HSB174.IPC	824	HSB174.IPC	HSB174	IPC	11	L	8.1	105	8	8Y	5	174.IPC.CEL	6_ Age <12 Y	Middle and late childhood	IPC	Done	N/A 	1.3	459.86	ok	NA	Done	Done
HSB174.A1C	825	HSB174.A1C	HSB174	A1C	11	L	9.3	105	8	8Y	5	174.A1C.CEL	6_ Age <12 Y	Middle and late childhood	A1C	Done	8.3	1.62	102.92	ok	NA	Done	Done
HSB174.STC	826	HSB174.STC	HSB174	STC	11	L	8.8	105	8	8Y	5	174.STC.CEL	6_ Age <12 Y	Middle and late childhood	STC	Done	7.2	1.19	187.66	ok	NA	Done	Done
HSB174.ITC	827	HSB174.ITC	HSB174	ITC	11	L	8.9	105	8	8Y	5	174.ITC.CEL	6_ Age <12 Y	Middle and late childhood	ITC	Done	6.7	1.22	83.36	ok	NA	Done	Done
HSB174.V1C	828	HSB174.V1C	HSB174	V1C	11	L	9.5	105	8	8Y	5	174.V1C.CEL	6_ Age <12 Y	Middle and late childhood	V1C	Done	8.5	1.36	70.47	ok	NA	Done	Done
HSB174.HIP	829	HSB174.HIP	HSB174	HIP	11	L	9.4	105	8	8Y	5	174.HIP.CEL	6_ Age <12 Y	Middle and late childhood	HIP	Done	8.3	1.34	89.86	ok	NA	Done	Done
